,Unnamed: 0,ID,Species,Country,Owner,Grade,ICP,Completed
0,,#915144,Arabica,Honduras,Eliud Hernandez Gonzales,82.83,ihcafe,"Apr 24th, 2023"
1,,#470272,Arabica,Thailand,Doi Tung Development Project,82.83,FABB Academy of Coffee,"Jul 14th, 2022"
2,,#864968,Arabica,Costa Rica,Taiwan Coffee Laboratory 台灣咖啡研究室,82.75,Taiwan Coffee Laboratory,"Nov 15th, 2022"
3,,#995570,Arabica,Nicaragua,"Exportadora Atlantic, S.A.",82.75,acen,"Jan 30th, 2023"
4,,#146278,Arabica,Thailand,Doi Tung Development Project,82.67,FABB Academy of Coffee,"Jul 14th, 2022"
5,,#989796,Arabica,Colombia,Yukinobu Ueda,82.67,JPCE,"Jul 11th, 2022"
6,,#421693,Arabica,Honduras,CADEXSA,82.67,ihcafe,"Apr 25th, 2023"
7,,#211361,Arabica,Taiwan,Taiwu,82.58,Taiwan Coffee Laboratory,"Jan 6th, 2023"
8,,#895349,Arabica,Taiwan,Taiwu,82.58,Taiwan Coffee Laboratory,"Jan 6th, 2023"
9,,#840458,Arabica,El Salvador,Consejo Salvadoreño del Café,82.5,scc,"Mar 3rd, 2023"
10,,#876726,Arabica,Mexico,Full Sweet Coffee,82.5,Taiwan Coffee Laboratory,"Nov 15th, 2022"
11,,#280067,Arabica,Brazil,ED&F Man Volcafe Brasil Ltda.,82.5,bsca,"Nov 3rd, 2022"
12,,#295641,Arabica,United States (Hawaii),Taiwan Coffee Laboratory 台灣咖啡研究室,82.5,Taiwan Coffee Laboratory,"Nov 15th, 2022"
13,,#547819,Arabica,Taiwan,Taiwu,82.5,Taiwan Coffee Laboratory,"Jan 6th, 2023"
14,,#451085,Arabica,Nicaragua,MR.BROWN CAFE,82.42,Taiwan Coffee Laboratory,"Dec 30th, 2022"
15,,#142692,Arabica,Taiwan,Taiwu,82.33,Taiwan Coffee Laboratory,"Jan 6th, 2023"
16,,#112317,Arabica,El Salvador,Consejo Salvadoreño del Café,82.33,scc,"Feb 21st, 2023"
17,,#322731,Arabica,El Salvador,Consejo Salvadoreño del Café,82.33,scc,"Jul 7th, 2022"
18,,#958749,Arabica,Peru,Kiichiro Iwata,82.25,JPCE,"Jul 11th, 2022"
19,,#824584,Arabica,Kenya,Coffee Quality Union,82.17,JPCE,"Apr 7th, 2023"
20,,#886281,Arabica,United States (Hawaii),Taiwan Coffee Laboratory 台灣咖啡研究室,82.17,Taiwan Coffee Laboratory,"Nov 9th, 2022"
21,,#348647,Arabica,Taiwan,Taiwu,82.08,Taiwan Coffee Laboratory,"Jan 6th, 2023"
22,,#105052,Arabica,Taiwan,Taiwu,82.08,Taiwan Coffee Laboratory,"Jan 6th, 2023"
23,,#175322,Arabica,Thailand,Doi Tung Development Project,82.0,FABB Academy of Coffee,"Jul 14th, 2022"
24,,#594815,Arabica,Costa Rica,Volcafe Japan,82.0,scacr,"Mar 29th, 2023"
25,,#847918,Arabica,Indonesia,Charles Umeano,82.0,NKG Quality,"Aug 22nd, 2022"
26,,#656152,Arabica,Guatemala,Ikuto Uehara,82.0,JPCE,"Nov 28th, 2022"
27,,#934594,Arabica,Taiwan,Taiwu,82.0,Taiwan Coffee Laboratory,"Jan 6th, 2023"
28,,#709384,Arabica,Guatemala,Anderson Wong,81.92,Taiwan Coffee Laboratory,"Nov 3rd, 2022"
29,,#571059,Arabica,Peru,Kiichiro Iwata,81.92,JPCE,"Jul 11th, 2022"
30,,#208327,Arabica,Vietnam,Rodney Murray,81.83,Firedancer,"Apr 10th, 2023"
31,,#772299,Arabica,Uganda,Baguma Moris,81.83,ucda,"Mar 14th, 2023"
32,,#663913,Arabica,Taiwan,Taiwu,81.83,Taiwan Coffee Laboratory,"Jan 6th, 2023"
33,,#801129,Arabica,Brazil,Coffee Quality Union,81.83,JPCE,"Apr 7th, 2023"
34,,#275886,Arabica,Colombia,MR.BROWN CAFE,81.75,Taiwan Coffee Laboratory,"Dec 30th, 2022"
35,,#448890,Arabica,Brazil,MR.BROWN CAFE,81.75,Taiwan Coffee Laboratory,"Dec 30th, 2022"
36,,#587946,Arabica,Mexico,Alvin La Vaughn Landry,81.67,CAFECOL,"Aug 11th, 2022"
37,,#531106,Arabica,Taiwan,Taiwu,81.58,Taiwan Coffee Laboratory,"Jan 6th, 2023"
38,,#793199,Arabica,Costa Rica,Ruddy Azofeifa,81.58,scacr,"Mar 29th, 2023"
39,,#553743,Arabica,Taiwan,Taiwu,81.5,Taiwan Coffee Laboratory,"Jan 6th, 2023"
40,,#223636,Arabica,Thailand,Doi Tung Development Project,81.42,FABB Academy of Coffee,"Jul 14th, 2022"
41,,#625390,Arabica,Thailand,Full Sweet Coffee,81.33,Taiwan Coffee Laboratory,"Nov 15th, 2022"
42,,#300209,Arabica,Colombia,Coffee Quality Union,81.17,JPCE,"Dec 22nd, 2022"
43,,#126973,Arabica,Thailand,Doi Tung Development Project,81.17,FABB Academy of Coffee,"Jul 14th, 2022"
44,,#153864,Arabica,Brazil,Ikuto Uehara,81.0,JPCE,"Apr 17th, 2023"
45,,#829408,Arabica,El Salvador,Roselia Yglesias,80.83,scc,"Mar 8th, 2023"
46,,#382569,Arabica,Indonesia,nesim ibrahimhakıoğlu,80.58,Coffee Laboratory LTD,"Jun 12th, 2023"
47,,#707378,Arabica,Nicaragua,丸山花織,80.5,JPCE,"Jul 11th, 2022"
48,,#826756,Arabica,Nicaragua,"Wataru & Co., Ltd.",80.42,acen,"Apr 20th, 2023"
49,,#483718,Arabica,Colombia,Coffee Quality Union,80.42,JPCE,"Mar 6th, 2023"
